Test,Test#,Pattern,Wafer,Site,Pin,Device,Value,Unit,P/F,Time,TS Time,Print To Data Log
"CONTINUITY",10020,"",0,1,"FAULTB_PS1600",2,-428.485,"mV","P",0.667943,***,""
"CONTINUITY",10050,"",0,1,"FCB_PS1600",2,-368.279,"mV","P",0.667943,***,""
"CONTINUITY",10090,"",0,1,"ISEN_PS1600",2,-354.096,"mV","P",0.667943,***,""
"CONTINUITY",10080,"",0,1,"ITRIP_PS1600",2,-368.962,"mV","P",0.667943,***,""
"CONTINUITY",10040,"",0,1,"OFF_PS1600",2,-362.018,"mV","P",0.667943,***,""
"CONTINUITY",10010,"",0,1,"SS_PS1600",2,-459.473,"mV","P",0.667943,***,""
"CONTINUITY",10070,"",0,1,"VBIAS_PS1600",2,-295.368,"mV","P",0.667943,***,""
"CONTINUITY",10060,"",0,1,"GND_PS1600",2,-353.357,"mV","P",0.667943,***,""
"CONTINUITY",10180,"",0,1,"VIN1",2,-342.978,"mV","P",0.667943,***,""
"CONTINUITY",10190,"",0,1,"VIN2",2,-343.065,"mV","P",0.667943,***,""
"CONTINUITY",10200,"",0,1,"VIN3",2,-343.063,"mV","P",0.667943,***,""
"CONTINUITY",10210,"",0,1,"VIN4_RS1",2,-343.138,"mV","P",0.667943,***,""
"CONTINUITY",10220,"",0,1,"VIN4_RS2",2,-342.949,"mV","P",0.667943,***,""
"CONTINUITY",10230,"",0,1,"VIN5_RS1",2,-342.834,"mV","P",0.667943,***,""
"CONTINUITY",10240,"",0,1,"VIN5_RS2",2,-343.111,"mV","P",0.667943,***,""
"CONTINUITY",10250,"",0,1,"VIN6",2,-343.048,"mV","P",0.667943,***,""
"CONTINUITY",10100,"",0,1,"VOUT1",2,-227.486,"mV","P",0.667943,***,""
"CONTINUITY",10110,"",0,1,"VOUT2_RS1",2,-227.562,"mV","P",0.667943,***,""
"CONTINUITY",10120,"",0,1,"VOUT2_RS2",2,-227.522,"mV","P",0.667943,***,""
"CONTINUITY",10130,"",0,1,"VOUT3_RS1",2,-227.631,"mV","P",0.667943,***,""
"CONTINUITY",10140,"",0,1,"VOUT3_RS2",2,-227.594,"mV","P",0.667943,***,""
"CONTINUITY",10150,"",0,1,"VOUT4",2,-227.728,"mV","P",0.667943,***,""
"CONTINUITY",10160,"",0,1,"VOUT5",2,-227.575,"mV","P",0.667943,***,""
"CONTINUITY",10170,"",0,1,"VOUT6",2,-227.831,"mV","P",0.667943,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"FAULTB_PS1600",2,-5.07267,"nA","P",0.699923,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"",0,1,"FAULTB_PS1600",2,-5.07267,"nA","P",0.699923,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"",0,1,"ITRIP_PS1600",2,-10.1704,"nA","P",0.699923,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"",0,1,"ITRIP_PS1600",2,-10.1704,"nA","P",0.699923,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"",0,1,"OFF_PS1600",2,-7.66651,"nA","P",0.699923,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"",0,1,"OFF_PS1600",2,-7.66651,"nA","P",0.699923,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"",0,1,"SS_PS1600",2,-10.1786,"nA","P",0.699923,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"",0,1,"SS_PS1600",2,-10.1786,"nA","P",0.699923,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"",0,1,"VIN1",2,302.138,"nA","P",0.699923,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"",0,1,"VIN1",2,-297.947,"nA","P",0.699923,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"",0,1,"VOUT1",2,296.892,"nA","P",0.699923,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"",0,1,"VOUT1",2,-299.249,"nA","P",0.699923,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"",0,1,"EN0_PS1600",2,498.661,"nA","P",0.699923,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"",0,1,"EN0_PS1600",2,-503.345,"nA","P",0.699923,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"",0,1,"FCB_PS1600",2,-0.36318,"nA","P",0.699923,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20180,"",0,1,"FCB_PS1600",2,-5.47574,"nA","P",0.699923,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN",20090,"",0,1,"ISEN_PS1600",2,-0.0563175,"nA","P",0.699923,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN",20190,"",0,1,"ISEN_PS1600",2,-9.51997,"nA","P",0.699923,***,""
"PIN_TO_PIN_POS_LEAKAGE_PIN_VBIAS_PS1600",20100,"",0,1,"VBIAS_PS1600",2,765,"nA","P",0.699923,***,""
"PIN_TO_PIN_NEG_LEAKAGE_PIN_VBIAS_PS1600",20200,"",0,1,"VBIAS_PS1600",2,-833,"nA","P",0.699923,***,""
"RON_200mAVDD_5_VIN_5_20V_Part",90050,"",0,1,"VIN1",2,0.02276,"ohm","P",0.205231,***,""
"DEVICE_VARIENT_TRUE",90060,"",0,1,"VIN1",2,1,"","P",0.205231,***,""
"BANKA_BIT5_BLOWN_TRUE",1000001,"",0,1,"OFF_PS1600",2,0,"","P",0.288686,***,""
"EN_FCB_LOW_VOUT_LOW",30010,"",0,1,"VOUT4",2,0.00153542,"V","P",0.498802,***,""
"EN_FCB_LOW_OFF_HIGH",30020,"",0,1,"OFF_PS1600",2,1.89051,"V","P",0.498802,***,""
"FCB_LOW_VOUT_LOW",30030,"",0,1,"VOUT4",2,0.000425339,"V","P",0.498802,***,""
"FCB_LOW_OFF_HIGH",30040,"",0,1,"OFF_PS1600",2,1.89108,"V","P",0.498802,***,""
"EN_LOW_VOUT_LOW",30050,"",0,1,"VOUT4",2,0.00115585,"V","P",0.498802,***,""
"EN_LOW_OFF_HIGH",30060,"",0,1,"OFF_PS1600",2,1.8908,"V","P",0.498802,***,""
"EN_FCB_HIGH_VOUT_HIGH",30070,"",0,1,"VOUT4",2,5.00013,"V","P",0.498802,***,""
"EN_FCB_HIGH_OFF_LOW",30080,"",0,1,"OFF_PS1600",2,0.000714269,"V","P",0.498802,***,""
"FAULT_SET_VOUT_LOW",30090,"",0,1,"VOUT4",2,-5.9128e-05,"V","P",0.498802,***,""
"FAULT_SET_OFF_HIGH",30100,"",0,1,"OFF_PS1600",2,1.93519,"V","P",0.498802,***,""
"FAULT_RESET_VOUT_HIGH",30110,"",0,1,"VOUT4",2,4.99973,"V","P",0.498802,***,""
"FAULT_RESET_OFF_LOW",30120,"",0,1,"OFF_PS1600",2,0.000714269,"V","P",0.498802,***,""
"IVDDDIS_VDD_3_VIN_3",40010,"",0,1,"VDD",2,107.312,"uA","P",0.265177,***,""
"IVINDIS_VDD_3_VIN_3",40050,"",0,1,"VIN1",2,67.7798,"uA","P",0.265177,***,""
"IOFF_VDD_3_VIN_3",40090,"",0,1,"VOUT4",2,-3.95504,"uA","P",0.265177,***,""
