Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Time,TS Time
"Output_disabled_leakage","IVINVDD0_VIN_3",40130,"Parametric","",-10,450,"uA",228.534,228.534,228.534,0,0.16788,***
"Output_disabled_leakage","IOFFVDD0_VIN_3",40150,"Parametric","",-450,10,"uA",-187.524,-187.524,-187.524,0,0.16788,***
"Output_disabled_leakage","IVDDDIS_VDD_20_VIN_3",40030,"Parametric","",-10,450,"uA",201.162,201.162,201.162,0,0.16788,***
"Output_disabled_leakage","IVINDIS_VDD_20_VIN_3",40070,"Parametric","",-10,450,"uA",259.921,259.921,259.921,0,0.16788,***
"Output_disabled_leakage","IOFF_VDD_20_VIN_3",40110,"Parametric","",-450,10,"uA",-189.31,-189.31,-189.31,0,0.16788,***
"Output_disabled_leakage","IVDDDIS_VDD_20_VIN_20",40040,"Parametric","",-10,450,"uA",200.747,200.747,200.747,0,0.16788,***
"Output_disabled_leakage","IVINDIS_VDD_20_VIN_20",40080,"Parametric","",-10,450,"uA",284.735,284.735,284.735,0,0.16788,***
"Output_disabled_leakage","IOFF_VDD_20_VIN_20",40120,"Parametric","",-450,10,"uA",-191.109,-191.109,-191.109,0,0.16788,***
"Output_disabled_leakage","IVINVDD0_VIN_20",40140,"Parametric","",-10,450,"uA",284.31,284.31,284.31,0,0.16788,***
"Output_disabled_leakage","IOFFVDD0_VIN_20",40160,"Parametric","",-450,10,"uA",-189.535,-189.535,-189.535,0,0.16788,***
"EN_pullup_resistor","EN0V_PULLUP_RES",50010,"Parametric","",0,220,"Kohm",196.528,196.528,196.528,0,0.059347,***
"EN_pullup_resistor","EN1V_PULLUP_RES",50020,"Parametric","",0,220,"Kohm",200.15,200.15,200.15,0,0.059347,***
"EN_pullup_resistor","EN0V_Current",50030,"Parametric","",-10,10,"uA",-9.159,-9.159,-9.159,0,0.059347,***
"EN_pullup_resistor","EN1V_Current",50040,"Parametric","",-6,6,"uA",-3.997,-3.997,-3.997,0,0.059347,***
"Leakage_Test","IOFF_REVERSE_VOUT_VIN_LEAKAGE_1mA",60030,"Parametric","",-500,-100,"mV",-113.749,-113.749,-113.749,0,0.126723,***
"Leakage_Test","IOFF_REVERSE_VOUT_VIN_LEAKAGE_10mA",60040,"Parametric","",-500,-100,"mV",-194.273,-194.273,-194.273,0,0.126723,***
"Leakage_Test","IOFF_REVERSE_VOUT_VIN_LEAKAGE_100mA",60050,"Parametric","",-500,-15,"mV",-20.5574,-20.5574,-20.5574,0,0.126723,***
"Nominal_Input_pin_Leakages","LEAKAGE",70010,"Parametric","",0,100,"uA",26.714,26.714,26.714,0,0.167526,***
"Nominal_Input_pin_Leakages","LEAKAGE",70060,"Parametric","",-0.1,100,"uA",0.113,0.113,0.113,0,0.167526,***
"Nominal_Input_pin_Leakages","LEAKAGE",70020,"Parametric","",-0.1,100,"uA",0.162,0.162,0.162,0,0.167526,***
"Nominal_Input_pin_Leakages","LEAKAGE",70040,"Parametric","",0,100,"uA",61.334,61.334,61.334,0,0.167526,***
"Nominal_Input_pin_Leakages","LEAKAGE",70030,"Parametric","",0,100,"uA",40.429,40.429,40.429,0,0.167526,***
"Nominal_Input_pin_Leakages","LEAKAGE",70080,"Parametric","",-0.1,100,"uA",0.581,0.581,0.581,0,0.167526,***
"Nominal_Input_pin_Leakages","LEAKAGE",70050,"Parametric","",0,100,"uA",92.564,92.564,92.564,0,0.167526,***
"Nominal_Input_pin_Leakages","LEAKAGE",70070,"Parametric","",0,100,"uA",55.712,55.712,55.712,0,0.167526,***
"Nominal_Input_pin_Leakages","LEAKAGE_2V",70090,"Parametric","",-0.1,100,"uA",0.271,0.271,0.271,0,0.167526,***
"Output_enabled_leakage","IVDD_VDD_3_Vin_3",80010,"Parametric","",0,450,"uA",166.437,166.437,166.437,0,0.568824,***
