Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Time,TS Time
"EN_pullup_resistor","EN1V_Current",50040,"Parametric","",-6,6,"uA",-4.06831,-3.88725,-4.01221,0.0633724,0.07664,***
"Leakage_Test","IOFF_REVERSE_VOUT_VIN_LEAKAGE_1mA",60030,"Parametric","",-500,-100,"mV",-273.264,-272.356,-272.964,0.318699,0.08277,***
"Leakage_Test","IOFF_REVERSE_VOUT_VIN_LEAKAGE_10mA",60040,"Parametric","",-500,-100,"mV",-335.142,-334.314,-334.556,0.302212,0.08277,***
"Leakage_Test","IOFF_REVERSE_VOUT_VIN_LEAKAGE_100mA",60050,"Parametric","",-500,-100,"mV",-217.031,-213.139,-214.598,1.47844,0.08277,***
"Nominal_Input_pin_Leakages","LEAKAGE",70010,"Parametric","",0,100,"uA",24.4855,24.8221,24.6053,0.136307,0.257879,***
"Nominal_Input_pin_Leakages","LEAKAGE",70060,"Parametric","",-0.1,100,"uA",0.0018538,0.00642314,0.00515388,0.00167619,0.257879,***
"Nominal_Input_pin_Leakages","LEAKAGE",70020,"Parametric","",-0.1,100,"uA",0.0366117,0.136876,0.0742106,0.0345511,0.257879,***
"Nominal_Input_pin_Leakages","LEAKAGE",70040,"Parametric","",0,100,"uA",25.8898,27.8351,26.3488,0.736439,0.257879,***
"Nominal_Input_pin_Leakages","LEAKAGE",70030,"Parametric","",0,100,"uA",17.0045,17.1803,17.0924,0.0566996,0.257879,***
"Nominal_Input_pin_Leakages","LEAKAGE",70080,"Parametric","",-0.1,100,"uA",0.0241387,0.07472,0.0452143,0.0248656,0.257879,***
"Nominal_Input_pin_Leakages","LEAKAGE",70050,"Parametric","",0,100,"uA",47.9661,53.2322,49.1923,1.99359,0.257879,***
"Nominal_Input_pin_Leakages","LEAKAGE",70070,"Parametric","",0,100,"uA",18.7246,25.978,24.264,2.73358,0.257879,***
"Nominal_Input_pin_Leakages","LEAKAGE_2V",70090,"Parametric","",-0.1,100,"uA",-0.0580667,0.0683866,0.0135902,0.0540455,0.257879,***
"Output_enabled_leakage","IVDD_VDD_3_Vin_3",80001,"Parametric","",0,450,"uA",96.2773,807.062,218.775,288.224,0.542341,***
"Output_enabled_leakage","IVIN_VDD_3_Vin_3",80005,"Parametric","",0,450,"uA",52.8041,56.7213,55.1553,1.38915,0.542341,***
"Output_enabled_leakage","IVDD_VDD_3_Vin_50",80018,"Parametric","",0,450,"uA",102.22,810.66,223.502,287.658,0.542341,***
"Output_enabled_leakage","IVIN_VDD_3_Vin_50",80022,"Parametric","",0,450,"uA",86.342,89.4107,88.0227,1.18484,0.542341,***
"Output_enabled_leakage","IVDD_VDD_50_Vin_3",80019,"Parametric","",0,450,"uA",110.247,819.944,231.054,288.504,0.542341,***
"Output_enabled_leakage","IVIN_VDD_50_Vin_3",80023,"Parametric","",0,450,"uA",50.7808,58.176,54.6071,2.64824,0.542341,***
"Output_enabled_leakage","IVDD_VDD_50_Vin_50",80020,"Parametric","",0,450,"uA",109.644,824.302,234.603,288.944,0.542341,***
"Output_enabled_leakage","IVIN_VDD_50_Vin_50",80024,"Parametric","",0,450,"uA",86.8421,91.7064,88.8434,1.7553,0.542341,***
"IVDDFL_IVINFL_RONFL","RON_200mAVDD_5_VIN_5",90040,"Parametric","",0.04,0.07,"ohm",0.0560015,0.0567893,0.0564527,0.000343602,0.0860045,***
"IVDDFL_IVINFL_RONFL","DEVICE_VARIENT_TRUE",90060,"Parametric","",1,1,"",1,1,1,0,0.0860045,***
